,GAMMA,x_vals,llh,delta_llh
0,0.0,[-7.49220555e-07 -5.65820768e-02  3.20079242e+00],-293621.3411516223,3.0512455850839615e-06
1,0.026755852842809364,[ 2.89123910e-06 -5.65804954e-02  3.20079242e+00],-293621.34115004126,4.632282070815563e-06
2,0.05351170568561873,[-5.08616110e-07 -5.64814929e-02  3.20091332e+00],-293621.34114893165,5.741894710808992e-06
3,0.0802675585284281,[ 2.26950919e-06 -5.64783273e-02  3.20091332e+00],-293621.3411469963,7.67724122852087e-06
4,0.10702341137123746,[-5.67111823e-07 -5.64203341e-02  3.20094113e+00],-293621.3411449649,9.70863038673997e-06
5,0.13377926421404682,[-2.64174117e-06 -5.62802721e-02  3.20109955e+00],-293621.3411432635,1.1410040315240622e-05
6,0.1605351170568562,[ 6.05967751e-07 -5.62802721e-02  3.20110028e+00],-293621.34114069876,1.3974786270409822e-05
7,0.18729096989966554,[ 1.58766252e-06 -5.62313475e-02  3.20125380e+00],-293621.3411381432,1.6530335415154696e-05
8,0.2140468227424749,[ 6.29941827e-07 -5.61636463e-02  3.20126454e+00],-293621.3411349904,1.9683153368532658e-05
9,0.2408026755852843,[-2.40032637e-06 -5.60198909e-02  3.20145277e+00],-293621.3411318862,2.2787367925047874e-05
10,0.26755852842809363,[ 1.45834410e-06 -5.60188893e-02  3.20145277e+00],-293621.34112771135,2.6962195988744497e-05
11,0.294314381270903,[-7.00121083e-07 -5.59197428e-02  3.20152640e+00],-293621.34112328227,3.1391275115311146e-05
12,0.3210702341137124,[-3.37286969e-06 -5.57695540e-02  3.20173909e+00],-293621.34111869923,3.5974313504993916e-05
13,0.34782608695652173,[-3.16627553e-06 -5.57499162e-02  3.20174849e+00],-293621.3411126708,4.200276453047991e-05
14,0.3745819397993311,[-3.83549971e-07 -5.55814107e-02  3.20186120e+00],-293621.34110624815,4.84253978356719e-05
15,0.4013377926421405,[-2.51693701e-06 -5.54957763e-02  3.20211474e+00],-293621.34109962836,5.504518048837781e-05
16,0.4280936454849498,[-1.81035404e-06 -5.53860122e-02  3.20217768e+00],-293621.34109152545,6.314809434115887e-05
17,0.45484949832775917,[-2.31249163e-06 -5.52596629e-02  3.20235882e+00],-293621.34108246735,7.220619590952992e-05
18,0.4816053511705686,[-3.10925005e-06 -5.51372004e-02  3.20244389e+00],-293621.34107198287,8.26906762085855e-05
19,0.5083612040133779,[-1.53537553e-06 -5.50565470e-02  3.20255851e+00],-293621.34105999285,9.468069765716791e-05
20,0.5351170568561873,[-1.56516110e-06 -5.48780177e-02  3.20267533e+00],-293621.3410464049,0.00010826863581314683
21,0.5618729096989966,[-3.88655282e-06 -5.46789746e-02  3.20304603e+00],-293621.3410324148,0.0001222587306983769
22,0.588628762541806,[-3.93553547e-06 -5.45283698e-02  3.20326954e+00],-293621.3410154966,0.00013917696196585894
23,0.6153846153846154,[-2.28796405e-06 -5.43831027e-02  3.20339414e+00],-293621.34099651343,0.00015816011000424623
24,0.6421404682274248,[-1.75051277e-06 -5.42288992e-02  3.20344821e+00],-293621.34097399673,0.00018067681230604649
25,0.6688963210702341,[-3.66657023e-06 -5.40213894e-02  3.20379377e+00],-293621.3409505622,0.0002041113330051303
26,0.6956521739130435,[-1.88165140e-06 -5.37782589e-02  3.20411050e+00],-293621.34092330176,0.0002313717850483954
27,0.7224080267558528,[-5.02348071e-06 -5.35354038e-02  3.20439163e+00],-293621.3408923332,0.00026234035613015294
28,0.7491638795986622,[-5.30946315e-06 -5.33205639e-02  3.20465556e+00],-293621.3408573044,0.0002973691443912685
29,0.7759197324414716,[-9.36998897e-06 -5.30151977e-02  3.20486439e+00],-293621.3408171354,0.0003375381347723305
30,0.802675585284281,[-6.09597013e-06 -5.28010082e-02  3.20524480e+00],-293621.340773058,0.00038161553675308824
31,0.8294314381270903,[-1.09555702e-05 -5.25027672e-02  3.20543748e+00],-293621.340721543,0.0004331305390223861
32,0.8561872909698997,[-1.12648132e-05 -5.21248873e-02  3.20608127e+00],-293621.34066493955,0.0004897339968010783
33,0.882943143812709,[-8.76286269e-06 -5.18766080e-02  3.20618452e+00],-293621.3406003969,0.000554276630282402
34,0.9096989966555183,[-7.67031308e-06 -5.15693536e-02  3.20671145e+00],-293621.3405285499,0.000626123626716435
35,0.9364548494983277,[-7.84435377e-06 -5.12095252e-02  3.20711771e+00],-293621.34044651163,0.0007081619114615023
36,0.9632107023411371,[-8.15800734e-06 -5.08222286e-02  3.20758398e+00],-293621.3403539305,0.0008007430587895215
37,0.9899665551839465,[-9.01313600e-06 -5.04034464e-02  3.20804902e+00],-293621.3402494097,0.000905263819731772
38,1.0167224080267558,[-6.86752659e-06 -5.00248178e-02  3.20848299e+00],-293621.3401311954,0.0010234781657345593
39,1.0434782608695652,[-9.46304566e-06 -4.95326851e-02  3.20912397e+00],-293621.3399983942,0.0011562793515622616
40,1.0702341137123745,[-9.82800286e-06 -4.90321774e-02  3.20969960e+00],-293621.33984831173,0.0013063618098385632
41,1.0969899665551839,[-1.01490459e-05 -4.85277103e-02  3.21030239e+00],-293621.33967897535,0.0014756981981918216
42,1.1237458193979932,[-1.14543190e-05 -4.79658242e-02  3.21091137e+00],-293621.33948801766,0.0016666558803990483
43,1.1505016722408026,[-1.09482462e-05 -4.73920529e-02  3.21157282e+00],-293621.3392726643,0.001882009266410023
44,1.177257525083612,[-1.38651126e-05 -4.67363808e-02  3.21239912e+00],-293621.33903006307,0.0021246104734018445
45,1.2040133779264215,[-1.27045609e-05 -4.61204953e-02  3.21313372e+00],-293621.33875657123,0.0023981023114174604
46,1.2307692307692308,[-1.25999800e-05 -4.54305485e-02  3.21392343e+00],-293621.3384483783,0.002706295228563249
47,1.2575250836120402,[-1.03915038e-05 -4.47043032e-02  3.21481674e+00],-293621.3381011937,0.003053479827940464
48,1.2842809364548495,[-1.39574911e-05 -4.38722561e-02  3.21577837e+00],-293621.3377103859,0.003444287634920329
49,1.3110367892976589,[-1.39527300e-05 -4.30526844e-02  3.21672742e+00],-293621.33727027423,0.0038843993097543716
50,1.3377926421404682,[-1.46997138e-05 -4.21601863e-02  3.21780967e+00],-293621.33677492867,0.004379744874313474
51,1.3645484949832776,[-1.37148784e-05 -4.12541998e-02  3.21886934e+00],-293621.3362175557,0.004937117861118168
52,1.391304347826087,[-1.46556672e-05 -4.02336458e-02  3.22004720e+00],-293621.33559081267,0.005563860875554383
53,1.4180602006688963,[-1.56729529e-05 -3.91646929e-02  3.22132908e+00],-293621.3348860929,0.006268580618780106
54,1.4448160535117056,[-1.70961557e-05 -3.80056674e-02  3.22273135e+00],-293621.3340938351,0.007060838455799967
55,1.471571906354515,[-1.29079735e-05 -3.69115276e-02  3.22397266e+00],-293621.3332041447,0.00795052881585434
56,1.4983277591973243,[-1.69163234e-05 -3.55602430e-02  3.22554341e+00],-293621.3322052096,0.00894946395419538
57,1.5250836120401337,[-1.54145464e-05 -3.42599927e-02  3.22712222e+00],-293621.33108400926,0.010070664284285158
58,1.5518394648829432,[-1.58007897e-05 -3.28233600e-02  3.22882751e+00],-293621.32982613804,0.011328535503707826
59,1.5785953177257526,[-1.24437264e-05 -3.13863911e-02  3.23049187e+00],-293621.3284160424,0.01273863116512075
60,1.605351170568562,[-1.21775875e-05 -2.97821753e-02  3.23238434e+00],-293621.3268360931,0.01431858044816181
61,1.6321070234113713,[-1.26922719e-05 -2.80893864e-02  3.23431702e+00],-293621.3250667323,0.016087941243313253
62,1.6588628762541806,[-8.24379927e-06 -2.63068558e-02  3.23646715e+00],-293621.3230870259,0.0180676476447843
63,1.68561872909699,[-9.68024283e-06 -2.44191407e-02  3.23872623e+00],-293621.32087325933,0.020281414210330695
64,1.7123745819397993,[-8.25122429e-06 -2.24116501e-02  3.24111543e+00],-293621.31839957216,0.022755101381335407
65,1.7391304347826086,[-5.77833065e-06 -2.03165379e-02  3.24355942e+00],-293621.315638109,0.0255165645503439
66,1.765886287625418,[-2.57639370e-06 -1.80639692e-02  3.24620117e+00],-293621.31255763967,0.028597033873666078
67,1.7926421404682273,[ 3.90161308e-06 -1.57571074e-02  3.24890831e+00],-293621.3091250255,0.03202964802039787
68,1.8193979933110367,[ 6.76106328e-06 -1.33043295e-02  3.25181103e+00],-293621.3053034474,0.035851226130034775
69,1.846153846153846,[ 1.15928415e-05 -1.06379890e-02  3.25495485e+00],-293621.3010537344,0.040100939164403826
70,1.8729096989966554,[ 1.52933753e-05 -7.82805403e-03  3.25831001e+00],-293621.2963329394,0.044821734132710844
71,1.899665551839465,[ 2.34664590e-05 -4.94248900e-03  3.26173119e+00],-293621.29109599895,0.05005867459112778
72,1.9264214046822743,[ 3.07481637e-05 -1.86055832e-03  3.26531126e+00],-293621.2852937448,0.05586092872545123
73,1.9531772575250836,[4.06843469e-05 1.36270151e-03 3.26908640e+00],-293621.27887410996,0.06228056357940659
74,1.979933110367893,[4.93048895e-05 4.82204677e-03 3.27315234e+00],-293621.27178252744,0.06937214609934017
75,2.0066889632107023,[6.24040570e-05 8.40799585e-03 3.27740227e+00],-293621.2639611561,0.07719351747073233
76,2.0334448160535117,[7.37660898e-05 1.22511748e-02 3.28192677e+00],-293621.2553500676,0.08580460597295314
77,2.060200668896321,[8.70791060e-05 1.62477377e-02 3.28662817e+00],-293621.2458870577,0.09526761586312205
78,2.0869565217391304,[1.03507088e-04 2.04702601e-02 3.29156035e+00],-293621.23550870316,0.10564597038319334
79,2.1137123745819397,[1.20250216e-04 2.49557629e-02 3.29686086e+00],-293621.2241505966,0.11700407695025206
80,2.140468227424749,[1.44168539e-04 2.95164344e-02 3.30214729e+00],-293621.21174896485,0.12940570869250223
81,2.1672240802675584,[1.62234765e-04 3.45038210e-02 3.30798988e+00],-293621.19824158377,0.14291308977408335
82,2.1939799331103678,[1.85884625e-04 3.96706634e-02 3.31405413e+00],-293621.1835676825,0.1575869910302572
83,2.220735785953177,[2.13222702e-04 4.50484852e-02 3.32030936e+00],-293621.16767197335,0.17348270019283518
84,2.2474916387959865,[2.36497362e-04 5.07721498e-02 3.32686102e+00],-293621.150504281,0.19065039255656302
85,2.274247491638796,[2.72150229e-04 5.66682180e-02 3.33379164e+00],-293621.13202375296,0.20913092058617622
86,2.301003344481605,[3.06003433e-04 6.29766210e-02 3.34109920e+00],-293621.11219869216,0.22895598137984052
87,2.3277591973244145,[3.42570358e-04 6.95394594e-02 3.34871738e+00],-293621.09101041546,0.25014425808331
88,2.354515050167224,[3.77707962e-04 7.64935566e-02 3.35680695e+00],-293621.06845576805,0.27269890549359843
89,2.381270903010033,[4.21491370e-04 8.36490527e-02 3.36495434e+00],-293621.0445519965,0.2966026770300232
90,2.408026755852843,[4.62718092e-04 9.12251155e-02 3.37361314e+00],-293621.0193346983,0.321819975215476
91,2.4347826086956523,[5.07050320e-04 9.91704347e-02 3.38270806e+00],-293620.99286634463,0.34828832891071215
92,2.4615384615384617,[5.57163765e-04 1.07411197e-01 3.39214834e+00],-293620.96523667173,0.3759180018096231
93,2.488294314381271,[6.02074292e-04 1.16168931e-01 3.40212476e+00],-293620.9365667212,0.4045879523619078
94,2.5150501672240804,[6.50039913e-04 1.25284060e-01 3.41245977e+00],-293620.90701107,0.4341436035465449
95,2.5418060200668897,[6.97216111e-04 1.34864683e-01 3.42328871e+00],-293620.87676146266,0.4643932108883746
96,2.568561872909699,[7.44621299e-04 1.44876444e-01 3.43457625e+00],-293620.8460488311,0.49510584241943434
97,2.5953177257525084,[7.90556508e-04 1.55327420e-01 3.44625846e+00],-293620.81514514884,0.5260095247067511
98,2.6220735785953178,[8.33018367e-04 1.66362277e-01 3.45871809e+00],-293620.7843657257,0.5567889478406869
99,2.648829431438127,[8.73089610e-04 1.77874808e-01 3.47159924e+00],-293620.7540675877,0.5870870858198032
100,2.6755852842809364,[9.07600407e-04 1.89919731e-01 3.48495402e+00],-293620.72465057054,0.6165041030035354
101,2.702341137123746,[9.36930971e-04 2.02528652e-01 3.49895922e+00],-293620.696553609,0.6446010645595379
102,2.729096989966555,[9.59865924e-04 2.15681183e-01 3.51351250e+00],-293620.6702500024,0.6709046711330302
103,2.7558528428093645,[9.73968313e-04 2.29423700e-01 3.52862484e+00],-293620.6462394617,0.6949152118177153
104,2.782608695652174,[9.78506725e-04 2.43789076e-01 3.54426304e+00],-293620.62503624073,0.7161184328142554
105,2.809364548494983,[9.73809707e-04 2.58666778e-01 3.56025183e+00],-293620.60715199617,0.7340026773745194
106,2.8361204013377925,[9.59642011e-04 2.74098752e-01 3.57673786e+00],-293620.5930740644,0.7480806091334671
107,2.862876254180602,[9.33824596e-04 2.90068061e-01 3.59347338e+00],-293620.58323711395,0.7579175595892593
108,2.8896321070234112,[8.9969965e-04 3.0643036e-01 3.6102432e+00],-293620.5779908026,0.7631638709572144
109,2.9163879598662206,[8.59140134e-04 3.23197106e-01 3.62690724e+00],-293620.57756371435,0.763590959191788
110,2.94314381270903,[8.11633689e-04 3.40262684e-01 3.64323660e+00],-293620.5820293747,0.759125298820436
111,2.9698996655518393,[7.58126131e-04 3.57513832e-01 3.65896274e+00],-293620.59127880225,0.7498758712899871
112,2.9966555183946486,[7.02918457e-04 3.74814858e-01 3.67380653e+00],-293620.60500561754,0.7361490559997037
113,3.023411371237458,[6.51666460e-04 3.92137642e-01 3.68765148e+00],-293620.6227093061,0.7184453674708493
114,3.0501672240802673,[6.02979891e-04 4.09340629e-01 3.70014586e+00],-293620.64371759037,0.6974370831740089
115,3.0769230769230766,[5.62128147e-04 4.26280857e-01 3.71115235e+00],-293620.667227727,0.6739269465324469
116,3.1036789297658864,[5.30589187e-04 4.42921557e-01 3.72042205e+00],-293620.692359034,0.6487956395721994
117,3.130434782608696,[5.11503937e-04 4.59133136e-01 3.72802205e+00],-293620.71820923104,0.6229454425047152
118,3.157190635451505,[5.01654832e-04 4.75000423e-01 3.73409176e+00],-293620.7439083748,0.5972462987410836
119,3.1839464882943145,[5.04897477e-04 4.90391697e-01 3.73844363e+00],-293620.7686631215,0.5724915520404465
120,3.210702341137124,[5.16970872e-04 5.05341014e-01 3.74125066e+00],-293620.7917873721,0.5493673014570959
121,3.237458193979933,[5.38051675e-04 5.19856252e-01 3.74273043e+00],-293620.8127206233,0.5284340502694249
122,3.2642140468227425,[5.74428553e-04 5.33820780e-01 3.74284089e+00],-293620.831035199,0.5101194745511748
123,3.290969899665552,[6.19074684e-04 5.47287832e-01 3.74159700e+00],-293620.84643179516,0.49472287838580087
124,3.317725752508361,[6.69006643e-04 5.60336367e-01 3.73943638e+00],-293620.8587298695,0.4824248040677048
125,3.3444816053511706,[7.24138326e-04 5.72963770e-01 3.73633955e+00],-293620.86785418616,0.4733004873851314
126,3.37123745819398,[7.85247521e-04 5.85148399e-01 3.73236512e+00],-293620.8738179442,0.4673367293435149
127,3.3979933110367893,[8.49835510e-04 5.96867083e-01 3.72752956e+00],-293620.8767057573,0.46444891626015306
128,3.4247491638795986,[9.15430866e-04 6.08284227e-01 3.72227110e+00],-293620.8766581287,0.4644965448533185
129,3.451505016722408,[9.83770295e-04 6.19238407e-01 3.71630226e+00],-293620.873855119,0.4672995545552112
130,3.4782608695652173,[1.04917708e-03 6.29881004e-01 3.70995166e+00],-293620.8685048201,0.4726498534437269
131,3.5050167224080266,[1.11493555e-03 6.40172230e-01 3.70316202e+00],-293620.8608312668,0.4803234067512676
132,3.531772575250836,[1.19006612e-03 6.49906227e-01 3.69569280e+00],-293620.8510616912,0.49009298236342147
133,3.5585284280936453,[1.23933386e-03 6.59794669e-01 3.68854817e+00],-293620.83944127086,0.5017134026857093
134,3.5852842809364547,[1.30038558e-03 6.69142244e-01 3.68091932e+00],-293620.82618495007,0.5149697234737687
135,3.612040133779264,[1.35525530e-03 6.78267636e-01 3.67311930e+00],-293620.811516799,0.5296378745697439
136,3.6387959866220734,[1.40617886e-03 6.87031141e-01 3.66497989e+00],-293620.7956494418,0.5455052317702211
137,3.6655518394648827,[1.45141601e-03 6.95540056e-01 3.65677359e+00],-293620.778783641,0.562371032545343
138,3.692307692307692,[1.49429997e-03 7.03851747e-01 3.64849424e+00],-293620.76111317123,0.5800415023113601
139,3.7190635451505014,[1.53168274e-03 7.11892846e-01 3.64007419e+00],-293620.7428239413,0.598330732260365
140,3.7458193979933108,[1.56356797e-03 7.19727584e-01 3.63166520e+00],-293620.7240963626,0.6170583109487779
141,3.7725752508361206,[1.59379712e-03 7.27282892e-01 3.62314413e+00],-293620.7051071756,0.6360474979155697
142,3.79933110367893,[1.61462233e-03 7.34685228e-01 3.61461608e+00],-293620.68603112514,0.6551235484075733
143,3.8260869565217392,[1.63226313e-03 7.41839767e-01 3.60608238e+00],-293620.6670422425,0.6741124310647137
144,3.8528428093645486,[1.64343541e-03 7.48875878e-01 3.59765456e+00],-293620.648314585,0.6928400885662995
145,3.879598662207358,[1.65493299e-03 7.55587558e-01 3.58905740e+00],-293620.630022913,0.7111317605595104
146,3.9063545150501673,[1.65835985e-03 7.62170736e-01 3.58061781e+00],-293620.6123407335,0.7288139400188811
147,3.9331103678929766,[1.65652822e-03 7.68552122e-01 3.57211579e+00],-293620.59544018516,0.7457144883810543
148,3.959866220735786,[1.64963362e-03 7.74783821e-01 3.56373308e+00],-293620.579489944,0.761664729565382
149,3.9866220735785953,[1.64277647e-03 7.80815294e-01 3.55535662e+00],-293620.56465227075,0.7765024027903564
